Age,Income,Credit_Score,Loan_Amount,Employment_Years,Existing_Loan,Loan_Term,Debt_to_Income,Loan_Approved
48,26368,578,965113,28,1,7,15.5,No
56,47424,713,645642,34,1,5,44.3,No
46,65004,615,101374,28,0,10,34.6,Yes
28,76985,591,164397,8,0,15,52.8,No
48,70069,769,298552,28,1,15,22.1,Yes
48,72326,667,436721,26,0,10,19.1,Yes
57,43398,557,473332,34,1,5,32.3,No
56,70861,783,917461,35,0,10,61.0,Yes
47,95897,525,930006,23,0,10,49.1,No
37,88577,565,987951,18,0,7,33.0,Yes
29,85641,747,342575,8,0,15,38.4,Yes
53,29078,753,461124,29,0,7,14.6,Yes
40,45003,543,79336,16,1,7,64.2,No
33,82768,596,877424,13,0,10,46.7,No
48,71047,541,105350,24,1,7,25.7,No
49,91626,726,643849,30,1,15,42.2,Yes
33,77660,761,560470,9,0,7,16.0,Yes
55,69786,666,888387,33,1,15,63.1,Yes
26,21925,778,111240,5,1,7,19.6,Yes
38,46015,588,725453,16,1,15,45.6,No
25,53320,677,449371,6,1,7,23.5,Yes
45,84881,696,620895,21,1,7,49.5,No
22,46289,806,761028,4,0,5,52.7,Yes
30,23389,766,988467,11,0,15,47.0,No
50,45683,767,231196,30,1,15,43.8,Yes
25,33629,573,365014,3,0,15,59.1,No
53,81550,507,499763,31,0,3,14.3,Yes
21,44826,796,638398,0,0,7,28.2,Yes
38,46630,663,234626,14,1,15,23.7,Yes
52,66163,584,726296,32,0,3,64.3,No
31,86435,571,429039,13,1,5,31.4,No
41,31653,554,578714,19,0,15,50.3,No
46,47961,546,794199,24,0,15,47.7,No
45,94137,737,864038,25,0,3,21.7,Yes
42,53662,603,491048,23,0,7,23.1,Yes
47,76446,709,602439,28,1,5,25.5,Yes
33,41288,541,323452,9,1,15,32.6,No
53,56877,815,290853,30,1,7,22.9,Yes
54,35313,767,828883,32,0,5,11.1,Yes
55,92715,762,226743,32,0,10,58.4,No
21,30326,835,140306,2,1,10,63.1,No
41,21560,758,799468,22,1,5,28.8,No
26,99148,782,943416,5,0,3,28.6,Yes
48,46745,613,576492,30,0,5,10.4,No
37,51890,539,142769,13,0,5,47.4,No
25,40022,719,137265,4,1,3,55.4,No
51,72579,628,867563,33,0,3,18.1,Yes
25,90316,507,102428,4,0,7,18.8,Yes
58,48380,600,608158,35,0,7,53.5,No
23,22356,675,677835,0,1,3,43.9,Yes
43,90326,606,810278,19,0,10,12.5,Yes
57,40049,600,99067,35,0,10,44.2,No
57,95717,759,812371,34,0,5,27.0,Yes
30,36082,745,162217,7,0,15,30.3,Yes
30,20661,774,989111,10,0,5,52.3,No
39,57412,531,468184,19,1,5,54.6,No
37,22920,636,673222,18,1,15,32.0,No
41,80315,511,192980,23,1,3,62.1,No
34,99561,801,993927,13,1,10,32.4,Yes
29,28946,515,552367,9,0,5,52.5,No
21,65500,628,386851,0,1,15,36.6,No
33,36309,562,259329,10,0,7,59.4,No
24,75230,608,307354,4,1,5,59.9,No
21,50027,520,573406,0,1,10,14.8,No
60,92541,657,111215,35,0,3,61.5,Yes
52,79321,768,761195,30,0,5,55.4,Yes
54,20956,661,361573,35,0,5,53.5,No
48,94131,759,918584,29,0,15,21.1,Yes
51,67908,601,682336,29,0,7,54.3,No
28,98339,722,219530,10,1,7,56.8,Yes
59,45963,558,227241,35,1,3,25.9,No
46,59443,746,188731,25,0,10,62.4,Yes
54,59063,627,503830,32,0,3,12.7,Yes
23,24703,782,814265,2,0,5,18.2,No
32,85128,824,389384,11,1,5,39.6,Yes
21,92099,524,476009,0,0,7,41.7,Yes
25,45849,630,163688,2,0,10,45.5,No
50,51860,695,358617,32,0,15,10.9,Yes
50,51585,780,933194,28,0,10,62.8,Yes
37,42015,653,794748,15,0,5,12.5,Yes
43,97539,632,540834,24,1,15,17.9,No
35,63585,726,943388,13,0,10,10.8,Yes
57,46958,688,430596,34,1,10,41.2,Yes
41,46017,764,761111,22,0,15,61.3,Yes
34,96707,633,962743,10,1,5,46.6,No
22,65350,710,784275,0,1,10,55.2,Yes
31,32201,559,319150,10,0,15,10.7,No
59,49426,712,299243,35,0,5,39.8,Yes
58,37778,715,648506,35,0,15,35.3,Yes
54,65241,725,246416,31,1,15,37.4,Yes
58,62229,630,606718,35,0,10,14.0,Yes
54,68364,575,73091,35,1,5,47.6,No
38,77056,785,831413,14,0,10,37.7,Yes
50,47490,776,598277,29,1,3,52.1,No
35,39975,655,125451,11,1,3,36.7,Yes
47,46723,747,68990,24,1,5,18.2,Yes
54,43279,717,402414,31,0,15,45.7,No
58,98301,689,916792,35,0,10,19.5,Yes
53,31561,662,300541,33,1,10,58.0,No
44,86061,679,872513,25,0,5,43.7,Yes
35,69153,533,716393,17,0,5,18.6,Yes
50,53142,540,420416,27,0,3,62.9,No
37,46916,806,852673,16,0,7,38.5,Yes
25,84324,837,174932,1,0,5,14.0,No
49,64965,813,318083,27,0,7,44.5,Yes
24,24648,574,163000,4,0,5,23.9,No
30,55133,778,752922,8,1,15,54.2,No
37,70677,675,609351,16,1,15,55.0,Yes
30,90135,649,543216,10,1,3,63.8,No
37,55046,772,782081,15,1,3,37.6,Yes
40,67064,824,732405,22,0,7,35.0,Yes
44,89350,607,559850,23,0,5,51.4,No
25,65893,638,487985,1,0,10,17.3,Yes
54,81272,849,883550,35,0,3,40.1,Yes
26,87649,770,134703,5,1,10,40.0,Yes
22,84674,846,545164,3,0,10,14.9,Yes
33,33760,788,464841,13,0,5,33.0,Yes
31,41927,711,810084,8,0,7,56.9,Yes
43,81367,771,702845,19,0,5,57.1,Yes
36,32588,565,339220,18,1,3,15.5,No
51,72233,747,303317,33,0,10,15.0,Yes
31,64738,655,245877,9,1,5,24.4,Yes
36,53397,546,881037,16,0,5,58.1,Yes
28,96367,700,396709,5,0,5,17.1,Yes
24,91260,647,531725,3,1,3,49.6,No
60,96619,623,875553,35,0,7,15.6,Yes
24,39816,500,867865,4,1,5,44.3,No
45,62240,746,617597,25,1,3,29.6,Yes
23,26276,842,903900,4,1,10,53.4,No
52,99530,627,487470,33,1,15,22.9,No
23,43499,690,903725,0,0,3,45.2,No
47,91635,566,408402,26,1,15,23.0,No
49,55946,503,874837,26,0,5,49.3,No
52,75204,802,617815,32,1,5,58.1,Yes
39,71886,793,913659,19,1,3,17.0,Yes
41,91652,642,967996,19,1,15,57.7,No
25,35563,690,798778,6,1,5,42.6,No
38,29847,520,189883,16,0,10,17.0,No
48,46155,726,667632,24,1,7,33.5,Yes
42,99671,812,205344,22,0,7,18.8,Yes
41,87278,616,515226,19,1,5,48.5,No
26,38309,801,797852,3,1,15,51.7,No
21,20619,641,621441,2,0,5,15.8,No
25,70108,538,158042,6,0,15,37.8,No
32,54707,751,104110,11,0,10,54.8,Yes
46,40337,832,195051,23,1,15,61.5,Yes
54,86504,706,815419,33,0,5,38.2,Yes
34,67614,709,813461,12,0,10,62.3,Yes
46,20281,614,78328,28,0,3,39.5,No
47,47420,724,687199,23,1,7,31.7,Yes
29,59030,633,325011,6,0,5,56.7,No
46,21058,750,109234,23,0,5,37.1,Yes
42,96260,718,862283,19,0,5,36.0,Yes
50,48404,590,867711,29,0,10,37.0,No
37,49856,545,822791,15,0,3,56.6,No
46,29200,537,277135,23,0,15,55.8,No
56,84178,641,647690,35,0,3,32.2,Yes
21,53997,599,851881,0,1,10,28.3,No
28,45611,827,388365,9,1,5,37.1,Yes
55,61235,689,925512,31,0,7,41.5,Yes
35,55057,534,579739,16,1,5,23.1,No
42,21239,646,137178,23,0,15,53.7,No
34,85661,529,900193,10,0,7,36.8,No
46,65272,833,286562,28,0,5,28.4,Yes
48,81212,583,351014,26,0,7,15.9,Yes
43,35398,780,408710,24,0,3,23.1,Yes
34,76503,843,435893,12,0,10,62.2,Yes
44,26638,769,173765,25,0,5,26.8,Yes
22,26570,653,437025,2,1,15,19.3,No
46,88785,601,998377,22,0,3,35.3,Yes
34,29110,714,178389,15,0,5,26.9,Yes
27,99141,649,763987,7,0,3,11.9,Yes
23,32115,582,247227,2,0,15,27.8,No
43,59062,609,542402,23,0,5,39.9,Yes
38,42911,774,861804,15,0,15,40.3,Yes
58,52556,700,840074,35,1,7,29.6,Yes
55,98131,783,310220,35,0,15,34.6,Yes
35,21969,672,471217,13,0,7,63.1,No
45,63753,826,346208,24,1,5,30.8,Yes
57,24470,705,800186,35,0,7,24.2,Yes
48,30225,562,850554,29,0,5,23.4,No
30,43196,572,992324,7,1,5,35.2,Yes
59,33669,750,118431,35,0,10,51.8,Yes
37,57380,623,105745,17,0,5,21.3,Yes
59,68320,620,100081,35,0,7,49.0,No
42,67414,774,976215,24,0,10,11.2,Yes
46,35577,619,266204,25,0,10,33.0,No
45,75409,816,986297,27,0,5,52.7,Yes
37,48625,663,451415,19,0,15,28.6,Yes
33,44089,785,650541,14,0,15,41.0,Yes
40,56487,764,348335,19,1,10,21.3,Yes
45,85838,819,846643,22,0,5,50.8,Yes
24,70138,660,161086,4,0,15,12.9,Yes
30,62823,807,506285,9,0,5,56.9,No
23,57208,588,464758,2,1,5,20.9,No
38,74061,641,474528,14,0,10,58.1,No
56,50659,702,488458,35,1,10,29.4,No
42,51890,808,938403,18,0,3,49.7,Yes
54,99134,726,668071,34,0,15,27.6,Yes
28,67055,833,699969,10,0,15,59.8,Yes
60,39508,721,662181,35,0,15,17.0,Yes
39,62287,540,549797,20,0,7,19.8,Yes
57,98916,695,208763,35,0,5,37.1,No
26,46984,567,652248,6,0,10,14.5,No
46,28125,763,920820,24,0,15,20.8,Yes
54,56059,501,72601,35,1,3,61.9,No
26,89569,624,461236,6,1,15,63.7,No
57,37087,609,189227,35,0,5,30.7,No
53,25704,585,774479,34,0,5,60.8,No
42,80576,619,742137,19,0,10,40.0,Yes
41,93384,626,331854,22,1,7,24.8,No
26,92460,754,420858,2,0,10,48.6,Yes
26,47208,682,729892,7,1,15,46.2,No
24,86024,515,703015,2,0,3,64.4,No
50,59882,561,986105,32,0,10,24.6,No
31,45923,657,637515,11,0,7,47.0,Yes
50,49165,767,710327,32,1,10,12.9,Yes
51,87203,534,658577,31,0,5,16.3,Yes
44,24114,766,201094,25,0,15,10.2,Yes
29,84965,563,486679,6,1,15,65.0,No
23,56321,549,780031,0,0,15,54.1,No
51,93297,754,842154,29,1,15,53.3,Yes
60,45426,648,732773,35,0,15,38.0,No
57,37772,824,917482,35,1,15,26.5,No
56,23712,803,552648,35,0,3,18.3,Yes
44,21367,775,808108,25,0,7,25.7,Yes
51,71924,671,811282,29,1,15,30.7,Yes
26,23726,700,529083,5,0,7,51.6,No
22,47723,823,395740,1,0,15,39.7,Yes
40,29108,534,903164,18,0,10,14.3,No
48,97714,715,455513,28,0,15,11.0,Yes
31,55643,564,118323,13,0,5,15.6,Yes
24,51324,507,335960,2,0,3,32.6,Yes
35,28927,800,614983,15,0,10,61.3,No
26,42443,842,462918,3,0,10,45.1,Yes
50,99973,831,468458,28,0,5,54.1,Yes
58,83449,575,105841,35,0,15,35.7,Yes
22,96743,673,440642,0,1,3,29.9,Yes
35,80233,546,248784,13,1,10,16.0,No
31,45537,514,157096,13,1,3,58.2,No
28,97576,646,142764,10,0,10,53.1,No
46,42612,525,496790,26,0,15,19.2,Yes
25,26471,807,660032,5,0,10,38.2,Yes
26,55631,592,864914,2,0,10,36.8,No
46,51348,731,583459,24,0,7,44.4,Yes
24,84732,520,675043,3,0,15,62.0,No
39,21177,806,542148,17,0,5,41.9,No
40,24760,537,682413,18,1,5,39.7,No
53,52779,775,967154,33,0,15,12.8,Yes
40,41636,656,418226,18,0,5,13.5,Yes
32,73551,678,53696,13,0,15,20.3,Yes
21,31556,631,176310,0,0,5,11.8,No
46,47598,810,987562,27,1,7,50.9,No
34,31563,847,725673,16,0,5,49.8,No
58,66819,527,855581,35,0,10,17.5,No
57,93770,759,966496,35,0,15,56.0,Yes
31,46966,575,889953,9,0,3,18.5,No
56,79889,566,95740,35,0,3,26.6,Yes
33,46987,841,156611,14,1,15,23.7,Yes
23,98714,693,448172,5,1,7,30.5,Yes
53,78348,661,518947,34,1,5,24.0,Yes
26,44596,846,525828,3,0,7,36.9,Yes
30,53174,756,823210,6,1,3,32.4,Yes
25,84106,571,378785,4,0,15,64.3,No
43,89967,586,638099,25,0,15,13.1,Yes
30,79182,761,495376,12,0,7,17.8,Yes
22,59310,713,756673,0,0,7,12.9,Yes
33,76088,652,637520,10,0,5,44.4,Yes
60,28906,709,851849,35,1,10,13.0,No
22,56914,560,730089,0,0,10,56.0,No
40,65379,767,162492,20,0,5,38.2,Yes
21,98612,761,80099,1,0,10,39.0,Yes
57,57650,717,803494,35,1,3,40.9,No
29,66881,782,473177,6,1,10,19.4,Yes
37,66413,635,980106,15,1,5,20.9,No
29,26012,592,692762,5,0,10,27.5,No
31,70115,608,321400,10,0,15,42.6,No
35,27151,740,529336,15,0,7,21.6,Yes
44,77716,641,817876,24,0,3,16.4,Yes
58,56378,790,608969,35,0,15,63.4,Yes
55,62652,736,141328,33,0,15,11.2,Yes
50,92430,839,792800,28,0,5,54.1,Yes
51,33467,811,355505,28,1,7,53.3,No
25,51010,676,507719,2,0,7,26.3,Yes
34,74691,640,84540,14,0,3,17.5,Yes
31,84157,688,207608,9,0,5,18.0,Yes
29,32289,548,134700,5,1,3,48.4,No
54,64976,801,390676,33,1,10,45.4,Yes
32,63596,689,761935,10,1,15,53.1,Yes
55,43171,635,439770,35,1,3,61.6,No
55,64139,542,446087,33,0,15,48.1,No
21,68713,589,96002,2,0,5,18.6,Yes
60,49734,794,99812,35,0,10,23.4,Yes
42,92588,840,465842,24,0,5,56.3,Yes
49,83646,744,765339,28,0,10,21.5,Yes
28,23654,691,307906,8,0,10,14.0,Yes
31,38743,817,158946,13,1,15,48.7,No
57,68368,605,116668,35,1,5,32.1,No
34,94172,809,149003,14,1,5,60.6,Yes
50,26441,732,785430,28,1,3,45.8,No
55,44611,764,270462,35,1,5,15.0,Yes
41,32149,843,879430,20,0,3,62.1,No
57,79189,536,769174,34,0,7,24.2,Yes
25,41675,804,678889,4,1,7,28.5,Yes
39,91031,540,319956,20,1,7,32.1,No
34,62668,516,111844,10,0,5,12.8,Yes
46,33673,843,775453,23,1,5,37.3,No
24,96666,776,445395,3,0,3,16.8,Yes
45,85429,806,749158,26,0,10,32.1,Yes
45,43669,558,124601,21,1,3,29.3,No
38,54068,682,975779,19,0,7,52.5,Yes
60,29435,540,360001,35,0,3,54.2,No
28,72249,538,437699,6,0,10,18.4,Yes
59,57384,691,544700,35,1,5,30.2,Yes
60,96153,766,332844,35,0,3,30.5,Yes
34,95388,646,832215,12,1,7,18.3,No
52,51401,832,482680,34,0,7,53.9,Yes
58,91831,626,223423,35,0,5,48.9,No
53,54084,545,143330,30,1,3,20.5,No
43,75826,544,275391,25,0,10,30.2,Yes
35,56451,500,263606,13,1,5,15.8,No
53,27227,667,457085,33,0,3,44.6,No
45,51910,607,241387,24,1,15,16.7,No
37,56041,518,291133,17,0,7,64.2,No
53,85681,831,536904,35,0,10,52.9,Yes
22,85481,571,464170,0,0,10,31.5,Yes
34,88576,608,736915,12,0,10,41.8,Yes
60,84174,767,375497,35,0,7,60.1,Yes
60,46160,739,525406,35,0,3,40.5,No
59,37633,800,488242,35,0,5,19.6,Yes
26,37014,589,412916,7,0,3,30.8,No
26,69104,602,228048,3,0,5,56.4,No
23,61621,749,403646,4,1,10,45.4,Yes
27,97231,507,426087,5,0,3,45.8,No
28,88388,652,421994,4,0,10,57.7,Yes
35,36014,846,619383,17,0,15,59.2,No
49,53755,673,195342,28,1,10,60.6,Yes
53,60390,842,736268,29,0,10,15.2,Yes
50,43711,657,851955,32,1,5,39.9,Yes
59,77993,714,112433,35,1,15,50.7,Yes
47,94696,676,594279,28,1,10,51.6,Yes
56,47213,674,322919,35,0,10,43.4,No
49,77784,839,521017,26,0,15,19.2,Yes
58,27421,837,397139,35,1,15,53.9,No
53,37727,645,197745,29,0,3,49.6,No
57,24358,823,697096,35,0,5,14.7,Yes
47,85108,660,732416,28,0,15,35.5,Yes
53,52117,626,187686,34,1,15,19.6,No
24,51910,581,57415,1,0,7,28.6,Yes
42,75754,646,820326,21,1,15,11.0,No
22,82438,738,487100,0,0,5,32.0,Yes
30,49371,583,984468,6,0,10,40.2,No
25,71501,612,828493,7,0,10,44.1,No
30,80946,724,349188,8,0,10,46.5,No
53,58467,831,762509,31,1,10,56.0,No
58,37625,742,218616,35,1,7,21.9,Yes
33,53893,642,99976,12,1,15,16.6,No
51,96329,540,475468,32,0,10,56.8,No
56,51007,757,315976,35,1,3,18.6,Yes
44,59532,784,271883,25,0,10,63.6,No
35,74253,604,261509,16,0,15,56.3,No
49,32323,701,546965,27,0,10,37.5,Yes
28,93379,806,870580,7,0,7,64.0,Yes
25,34210,830,813529,2,1,5,15.4,No
49,36456,765,568823,30,1,5,26.7,No
24,51367,709,269526,4,0,15,45.1,Yes
32,74624,550,948662,12,1,5,29.3,No
22,30106,617,397220,0,0,5,61.1,No
47,88008,700,874834,27,0,3,13.6,Yes
51,92240,538,763087,27,0,15,40.2,Yes
56,84315,527,88578,35,0,15,42.5,No
56,89249,758,664741,33,0,5,45.9,Yes
46,90587,583,465534,25,0,5,24.1,Yes
47,30756,654,912147,28,1,5,30.1,No
25,88011,616,258859,2,1,7,56.4,No
40,56378,501,161435,18,0,10,20.7,Yes
31,24255,592,790389,10,1,7,55.5,No
30,34484,665,201538,8,0,15,40.9,Yes
60,76549,849,932174,35,0,3,51.9,Yes
58,54503,795,95475,35,1,10,49.2,Yes
26,93794,757,896574,6,0,3,21.4,Yes
28,65113,580,790520,5,0,15,41.3,No
43,94069,767,207636,24,0,15,57.7,Yes
46,25249,734,203484,22,0,3,33.8,Yes
32,39201,820,143526,11,1,3,63.2,No
46,78576,810,101001,25,0,3,34.9,Yes
33,29686,800,894081,15,0,15,17.9,Yes
60,73363,712,242029,35,0,5,31.4,Yes
38,20661,561,478733,19,1,3,62.3,No
45,64843,548,718516,23,0,10,27.6,Yes
53,80963,626,990568,35,1,15,57.7,No
60,62828,722,599999,35,0,7,58.5,Yes
32,68604,778,604394,10,0,7,29.3,Yes
56,30526,793,901890,35,0,10,14.6,Yes
24,88910,783,984093,2,0,5,49.9,Yes
25,45592,776,532488,5,0,3,27.1,Yes
57,48982,606,442573,35,0,15,53.1,No
28,20207,645,267583,10,1,3,34.3,No
48,88619,598,413898,24,0,15,36.7,Yes
51,49328,572,188286,29,1,7,52.8,No
29,66479,621,277189,7,0,3,31.0,No
49,40103,529,176479,28,0,10,34.4,Yes
